Codmun,ESPVIDA,FECTOT,MORT5,RAZDEP,SOBRE40,SOBRE60,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,RDPC,RIND,RMPOB,RPOB,THEIL,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M15A17CF,T_MULCHEFEFIF014,T_RMAXIDOSO,T_SLUZ,IDHM,IDHM_E,IDHM_L,IDHM_R,MORT1
110001,70.75,2.24,25.49,47.37,94.5,83.18,5.84,8.67,1.22,1.52,11.99,1.68,13.0,2.72,15.76,0.58,14.29,19.01,26.04,37.33,47.12,62.99,476.99,14.29,56.64,120.71,0.6,93.69,80.2,22.58,94.05,93.98,9.31,40.27,24.81,54.06,6.75,14.51,2.2,6.02,0.641,0.526,0.763,0.657,23.8
110002,73.36,1.91,20.53,46.68,96.12,87.69,4.36,9.18,1.55,1.09,7.9,1.13,8.53,1.89,10.48,0.53,4.36,6.65,11.54,18.76,29.04,43.11,689.95,30.85,79.5,155.7,0.51,98.54,85.35,27.15,96.72,98.58,11.4,26.59,12.27,37.81,9.1,18.07,1.4,1.42,0.702,0.6,0.806,0.716,19.2
110003,70.39,2.15,26.58,48.12,94.27,82.57,6.87,10.09,0.62,1.06,13.63,3.46,14.73,1.92,16.78,0.51,7.27,8.51,21.2,31.01,46.98,61.89,457.17,29.75,82.18,148.29,0.44,95.49,91.63,19.93,99.14,96.36,3.31,38.52,21.53,54.79,5.47,7.03,3.1,3.64,0.65,0.559,0.757,0.65,24.8
110004,74.27,1.9,15.38,43.79,96.41,88.56,5.57,9.74,1.01,0.8,8.29,0.93,8.94,1.57,10.95,0.57,5.97,8.77,13.08,20.03,29.82,43.31,738.06,24.18,72.45,147.58,0.61,97.96,93.44,20.5,98.17,98.89,1.85,26.16,11.58,39.87,6.03,12.8,1.84,1.11,0.718,0.62,0.821,0.727,14.3
110005,72.94,2.12,19.42,45.67,95.78,86.72,6.44,10.22,1.14,0.75,10.29,1.06,11.17,1.57,13.51,0.5,4.72,6.93,13.7,22.08,34.85,51.37,577.18,32.83,81.51,155.2,0.46,97.53,86.87,16.66,91.89,98.85,5.34,32.21,15.53,46.96,1.77,25.88,1.43,1.15,0.692,0.602,0.799,0.688,18.1
110006,73.81,1.89,17.28,45.82,96.23,88.03,7.51,10.4,0.51,1.23,12.43,0.7,13.41,1.78,16.12,0.49,6.64,10.12,15.76,26.97,37.11,53.69,535.41,24.82,74.36,148.45,0.45,95.54,93.89,14.73,92.79,97.76,2.99,33.74,16.62,47.48,10.04,14.0,1.9,2.24,0.685,0.584,0.814,0.676,16.1
110007,71.45,2.29,23.45,46.32,94.93,84.34,5.67,9.82,1.25,1.54,12.47,1.74,13.55,1.5,16.25,0.48,10.16,11.9,24.02,33.3,46.42,62.77,402.15,25.02,72.06,133.15,0.43,93.24,86.43,14.46,90.19,97.81,6.31,44.63,26.51,56.19,5.58,10.26,1.11,2.19,0.613,0.473,0.774,0.63,21.9
110008,70.04,2.72,27.66,60.13,94.05,81.97,3.82,9.22,1.48,1.44,8.6,1.78,9.39,2.33,11.31,0.52,9.66,12.45,30.48,42.14,55.8,70.24,370.77,30.56,82.83,133.54,0.48,95.67,54.32,36.18,79.35,90.13,36.41,41.98,28.19,52.15,18.02,23.22,2.12,9.87,0.611,0.493,0.751,0.616,25.8
110009,74.15,2.22,16.47,46.83,96.41,88.54,5.21,9.55,2.17,1.28,11.33,1.11,12.18,2.54,14.87,0.52,6.6,9.79,13.86,21.58,35.08,49.34,590.8,21.45,69.29,152.13,0.48,93.7,84.71,19.97,91.07,96.7,7.66,35.2,17.1,48.62,7.73,24.7,1.88,3.3,0.672,0.536,0.819,0.691,15.4
110010,74.39,2.61,15.92,56.67,96.53,88.88,4.82,8.17,2.2,1.77,8.06,1.99,8.7,2.78,10.47,0.54,10.38,15.3,23.47,34.13,43.92,57.55,494.69,22.3,70.81,129.76,0.51,93.26,49.32,43.4,90.41,97.71,36.84,30.54,21.04,42.17,10.53,22.46,1.73,2.29,0.657,0.519,0.823,0.663,14.8
110011,74.51,2.11,15.63,47.49,96.59,89.07,5.62,9.42,1.66,1.27,10.66,1.32,11.49,2.23,14.05,0.49,4.32,7.56,13.78,21.51,32.12,43.73,575.14,33.84,85.71,152.94,0.44,97.09,82.81,19.09,95.04,99.4,15.11,34.02,14.26,46.26,8.24,19.3,1.4,0.6,0.689,0.577,0.825,0.687,14.6
110012,73.6,2.26,17.43,43.98,96.11,87.67,5.05,9.95,1.35,1.0,7.79,1.2,8.38,1.57,10.18,0.53,2.67,4.34,8.56,14.72,26.26,40.34,743.35,25.06,85.61,167.1,0.52,97.81,89.31,23.3,95.36,99.35,5.87,25.07,11.28,35.01,5.0,15.55,2.12,0.65,0.714,0.617,0.81,0.728,16.2
110013,70.32,2.54,26.79,52.55,94.23,82.45,4.05,7.8,1.68,1.53,11.79,2.57,12.85,2.79,15.34,0.55,17.59,22.26,28.55,38.74,51.72,65.09,401.42,20.95,54.19,118.38,0.52,92.56,69.34,28.87,91.21,88.1,17.19,48.97,31.81,58.76,10.67,27.21,3.44,11.9,0.596,0.446,0.755,0.629,25.0
110014,70.75,2.03,25.49,46.8,94.5,83.18,5.49,9.44,0.78,1.21,11.25,1.33,12.31,2.29,14.86,0.56,10.3,12.69,23.16,31.29,46.94,60.55,499.59,25.51,70.84,134.77,0.57,94.07,74.6,20.31,94.84,94.95,9.6,37.74,21.31,57.97,5.69,10.99,2.02,5.05,0.643,0.524,0.763,0.664,23.8
110015,73.72,1.86,17.49,46.08,96.19,87.9,6.04,9.17,1.31,1.05,10.36,1.65,11.18,2.55,13.51,0.48,3.71,5.79,11.73,19.31,30.04,43.49,576.51,26.42,83.5,157.47,0.4,97.8,91.58,17.02,96.79,99.13,5.61,33.22,14.4,46.43,6.1,12.37,1.9,0.87,0.682,0.569,0.812,0.687,16.3
110018,73.15,2.18,18.88,45.13,95.89,87.05,5.07,9.08,0.96,0.77,8.35,0.76,9.04,1.34,11.18,0.54,2.29,3.76,9.33,16.46,25.37,37.37,734.76,25.68,88.48,164.38,0.52,97.21,91.07,21.55,97.98,99.0,4.7,25.78,12.43,32.99,7.8,16.22,1.54,1.0,0.71,0.613,0.803,0.726,17.6
110020,74.14,2.13,16.6,42.97,96.42,88.56,3.52,8.99,1.85,1.28,5.1,1.2,5.43,1.66,6.62,0.56,2.64,4.3,7.95,13.61,21.78,34.31,929.19,24.03,81.92,160.08,0.56,92.87,72.14,36.73,95.67,98.2,17.76,19.05,7.93,26.48,8.04,17.06,0.75,1.8,0.736,0.638,0.819,0.764,15.52
110025,72.51,2.27,20.54,46.95,95.54,86.05,7.07,9.78,1.68,0.58,12.17,1.55,13.23,2.43,15.75,0.53,9.3,13.14,19.39,29.23,40.89,55.42,520.2,25.24,67.37,140.88,0.48,93.77,85.3,17.7,91.68,99.15,9.63,37.06,19.67,51.33,8.81,16.31,2.47,0.85,0.664,0.55,0.792,0.671,19.2
110026,73.77,2.93,17.37,53.02,96.21,87.97,6.36,9.03,0.35,1.04,13.29,4.79,14.36,5.12,16.22,0.58,16.85,18.77,28.5,35.83,54.28,72.03,420.61,18.35,55.94,125.82,0.59,97.99,83.94,27.09,95.82,96.42,8.15,38.3,24.09,54.7,7.48,24.67,2.49,3.58,0.643,0.513,0.813,0.637,16.2
110028,73.46,1.99,18.13,44.5,96.05,87.51,5.56,9.9,1.39,1.03,9.04,1.15,9.74,1.46,11.94,0.53,3.96,6.34,10.77,17.83,31.34,46.47,657.65,28.33,82.4,159.51,0.51,97.4,93.72,20.06,98.05,99.24,4.5,30.06,13.77,41.64,8.11,17.77,1.23,0.76,0.7,0.598,0.808,0.709,16.9
110029,73.73,2.32,17.47,45.72,96.19,87.92,6.89,9.71,0.88,0.72,13.03,0.89,14.13,1.94,17.08,0.49,8.2,9.95,16.49,23.54,40.67,54.21,476.08,27.48,67.48,146.91,0.44,93.08,87.69,15.24,78.87,99.21,8.09,31.9,13.6,49.62,4.02,9.58,2.15,0.79,0.67,0.564,0.812,0.657,16.3
110030,73.49,1.99,18.16,44.68,96.08,87.59,4.46,10.55,0.91,0.93,6.08,1.06,6.52,1.36,7.92,0.5,2.1,4.03,6.37,12.22,22.39,35.34,768.98,25.5,82.2,169.58,0.46,98.16,97.28,21.21,98.01,98.29,1.55,22.75,9.27,31.76,9.26,17.75,1.4,1.71,0.731,0.659,0.808,0.734,16.98
110032,71.87,2.29,22.27,50.32,95.17,85.03,4.64,9.72,1.13,1.08,10.81,1.49,11.84,2.72,14.43,0.62,21.83,27.17,33.34,42.6,53.28,65.2,440.6,17.81,48.0,104.16,0.7,97.43,77.44,24.35,98.52,96.7,9.43,39.1,24.34,56.38,8.36,25.13,1.49,3.3,0.646,0.537,0.781,0.644,20.8
110033,71.15,2.78,24.3,56.64,94.75,83.86,3.78,7.7,3.18,1.6,13.07,2.08,14.22,4.3,17.19,0.52,11.73,14.09,28.2,37.26,52.95,67.95,377.34,21.11,72.4,132.09,0.47,93.81,57.14,31.45,78.14,91.43,31.57,48.87,32.51,59.81,17.91,22.34,2.03,8.57,0.587,0.424,0.769,0.619,22.7
110034,70.75,1.87,25.49,48.82,94.5,83.18,6.12,9.78,2.49,1.51,12.96,1.46,14.11,2.82,16.96,0.53,11.71,14.85,23.63,33.0,45.04,58.78,469.26,25.71,70.19,129.88,0.54,94.31,80.76,17.85,95.35,98.06,7.37,38.41,22.2,52.58,3.55,12.06,2.81,1.94,0.643,0.534,0.763,0.654,23.8
110037,71.64,2.69,22.91,52.06,95.04,84.65,4.86,9.46,2.0,1.56,13.53,1.9,14.86,3.46,17.97,0.54,21.1,25.93,33.84,42.98,55.19,67.78,341.22,21.52,51.08,109.1,0.51,93.59,77.53,24.2,92.79,91.11,15.73,44.9,27.89,66.16,8.38,14.99,2.2,8.89,0.592,0.443,0.777,0.603,21.4
110040,73.22,2.93,18.7,53.17,95.93,87.16,4.92,7.61,1.36,1.31,11.81,1.93,12.83,3.11,15.3,0.54,8.34,11.12,18.03,26.31,43.91,56.82,498.49,24.1,66.91,145.21,0.54,95.29,72.84,21.88,87.49,97.06,15.58,46.08,24.36,60.57,8.73,20.74,2.01,2.94,0.625,0.457,0.804,0.664,17.4
110045,70.08,2.57,27.54,51.51,94.07,82.04,3.8,8.3,1.46,1.61,9.85,1.85,10.67,1.56,12.94,0.5,9.18,11.79,20.83,28.1,41.94,54.14,458.05,25.3,72.99,137.63,0.45,90.12,77.33,24.71,96.4,94.44,13.51,43.39,22.45,56.37,7.42,24.04,1.9,5.56,0.616,0.479,0.751,0.65,25.7
110050,72.92,2.26,19.47,47.61,95.77,86.69,6.51,8.8,1.59,0.87,14.35,1.31,15.68,2.33,18.75,0.51,16.6,22.07,32.25,44.52,54.79,68.43,346.38,20.67,64.01,119.01,0.49,92.66,86.25,22.51,97.77,98.86,8.4,36.94,23.89,57.59,5.69,10.2,3.54,1.14,0.634,0.527,0.799,0.606,18.2
110060,73.08,2.53,19.05,53.74,95.86,86.94,5.93,9.44,2.04,1.15,13.22,2.26,14.34,3.55,16.97,0.56,8.8,14.9,22.02,34.14,45.4,63.9,499.93,36.02,79.27,139.95,0.55,93.68,74.25,26.48,96.1,94.16,10.75,45.52,27.42,58.15,4.72,31.52,2.68,5.84,0.646,0.506,0.801,0.664,17.8
110070,71.34,2.73,23.75,53.14,94.86,84.17,3.58,7.86,2.11,0.88,12.31,2.18,13.46,3.39,16.13,0.67,15.58,18.33,31.24,38.59,54.43,66.73,507.69,19.27,61.93,118.98,0.79,91.75,60.87,26.32,90.17,84.79,16.2,50.08,32.26,65.36,13.65,36.25,1.72,15.21,0.593,0.404,0.772,0.667,22.2
110080,74.11,2.87,16.55,54.61,96.39,88.49,3.96,8.19,2.52,1.81,10.98,2.79,11.93,3.75,14.22,0.47,7.14,7.69,15.8,21.7,38.44,50.03,463.63,16.41,66.69,148.05,0.37,95.88,74.32,40.29,76.96,95.28,16.08,34.45,17.61,45.06,16.82,21.31,1.66,4.72,0.649,0.512,0.819,0.652,15.4
110090,73.15,2.54,18.88,48.71,95.89,87.05,7.13,9.96,0.33,1.61,14.29,2.37,15.6,2.92,18.06,0.5,12.02,17.98,21.08,33.15,41.69,59.68,455.53,25.61,60.54,134.49,0.44,95.22,87.36,20.52,90.07,97.44,5.47,38.86,21.64,54.2,6.65,12.73,1.18,2.56,0.658,0.547,0.803,0.65,17.6
110092,74.21,2.92,16.31,50.76,96.44,88.64,3.45,9.53,2.75,1.34,10.31,1.42,11.19,3.66,13.64,0.47,5.39,5.19,16.12,22.48,37.88,50.0,483.36,17.62,81.49,151.5,0.39,85.16,83.49,29.61,87.79,92.11,8.08,37.23,19.43,41.23,9.07,18.02,0.88,7.89,0.652,0.514,0.82,0.659,15.2
110094,72.33,2.93,21.02,54.11,95.44,85.76,2.78,8.01,3.31,1.77,11.94,2.87,13.01,3.67,15.56,0.52,9.04,12.78,19.56,28.01,40.1,52.47,495.31,19.69,69.4,137.39,0.47,94.18,66.32,33.65,84.27,91.47,21.04,48.36,25.75,55.42,16.76,30.07,0.74,8.53,0.612,0.439,0.789,0.663,19.6
110100,70.71,2.52,25.61,51.22,94.47,83.11,5.68,9.0,0.77,0.58,13.35,2.31,14.64,3.38,17.53,0.55,11.52,16.43,27.2,41.19,53.67,67.54,396.36,28.1,74.24,134.51,0.56,94.71,76.85,23.3,95.78,94.34,6.33,47.75,28.4,61.68,4.36,18.44,3.41,5.66,0.596,0.444,0.762,0.627,23.9
110110,70.08,2.99,27.54,57.14,94.07,82.04,4.7,9.16,1.96,1.61,13.0,2.58,14.24,3.37,16.94,0.47,9.04,11.19,17.61,21.47,45.24,59.91,411.36,29.16,69.42,146.96,0.42,91.75,68.43,34.37,88.53,97.72,23.92,42.66,24.06,52.81,11.64,35.61,2.4,2.28,0.614,0.488,0.751,0.633,25.7
110120,71.55,2.41,23.17,51.97,94.99,84.5,5.84,8.95,0.45,1.23,12.67,1.27,13.93,1.7,17.09,0.54,12.76,15.43,26.14,34.23,47.9,61.5,448.38,23.98,68.32,126.2,0.5,92.14,87.48,19.99,100.0,97.85,4.71,36.88,20.74,54.07,4.06,16.16,2.85,2.15,0.638,0.518,0.776,0.647,21.6
110130,72.99,2.39,19.29,53.4,95.81,86.8,6.72,9.76,0.59,1.54,13.51,2.0,14.71,3.55,17.63,0.6,10.94,16.07,24.22,35.6,47.79,60.02,527.79,28.17,72.01,135.7,0.69,96.64,80.66,20.58,86.1,96.59,10.98,42.55,23.72,57.56,5.72,18.85,3.16,3.41,0.643,0.494,0.8,0.673,18.0
110140,70.71,2.47,25.59,55.53,94.48,83.12,5.49,9.65,1.68,2.09,14.54,1.88,15.74,4.19,18.86,0.47,5.69,7.35,20.75,31.13,42.84,58.99,443.85,23.91,86.81,149.67,0.39,98.33,77.85,28.17,86.05,95.85,9.55,42.66,23.47,54.11,10.49,17.08,2.22,4.15,0.607,0.454,0.762,0.645,23.9
110143,70.17,2.41,27.27,50.46,94.13,82.19,5.43,8.7,1.78,0.86,13.57,1.32,15.11,2.15,18.33,0.47,8.65,11.9,27.74,39.17,53.24,68.43,352.24,34.84,84.5,138.48,0.38,90.86,76.07,20.48,95.48,96.98,11.65,46.49,29.89,60.89,1.72,12.29,2.35,3.02,0.587,0.442,0.753,0.608,25.4
110145,73.0,2.78,19.28,50.08,95.81,86.81,4.32,8.96,1.72,1.0,14.71,2.6,16.03,4.0,19.59,0.52,16.04,17.59,25.68,33.1,57.31,70.72,343.73,14.72,46.74,131.99,0.44,87.26,78.77,20.36,97.33,86.86,9.93,45.36,31.51,58.07,15.73,10.3,3.46,13.14,0.617,0.485,0.8,0.604,18.0
110146,73.98,2.81,16.86,56.78,96.32,88.29,5.18,9.52,1.43,0.73,9.56,1.93,10.4,0.0,12.25,0.49,8.68,13.41,18.52,28.52,38.18,50.24,493.67,36.21,75.84,143.0,0.43,96.71,82.16,26.07,92.72,95.07,10.81,35.56,18.54,46.15,13.41,17.21,0.42,4.93,0.665,0.545,0.816,0.662,15.7
110147,72.94,2.66,19.42,51.77,95.78,86.72,6.87,9.65,1.83,0.88,13.42,1.67,14.63,2.45,16.99,0.52,11.45,15.77,25.19,36.21,46.87,60.35,442.61,30.11,70.92,129.21,0.48,96.29,86.03,22.7,98.25,96.79,7.54,41.02,25.02,56.33,2.72,13.46,4.75,3.21,0.641,0.512,0.799,0.645,18.1
110148,71.78,1.93,22.52,47.0,95.12,84.88,7.08,10.57,1.7,0.55,14.67,1.23,15.9,1.19,18.63,0.47,9.74,13.76,23.32,32.67,50.17,68.73,368.24,29.5,74.87,140.0,0.4,92.1,90.8,17.46,93.56,99.33,6.69,36.94,22.41,56.56,9.2,22.54,3.15,0.67,0.649,0.571,0.78,0.615,21.0
110149,70.04,2.53,27.66,52.4,94.05,81.97,3.9,9.44,1.03,1.19,9.58,1.33,10.42,2.02,12.8,0.56,12.21,15.25,24.53,33.75,47.5,61.48,477.9,24.02,66.34,130.27,0.58,96.26,70.72,21.74,84.89,93.27,16.21,41.92,25.14,56.49,15.26,23.04,1.6,6.73,0.611,0.462,0.751,0.657,25.8
110150,71.75,2.52,22.59,51.39,95.11,84.84,4.52,8.97,1.44,1.72,10.45,1.5,11.41,3.49,13.89,0.63,16.05,18.96,29.55,38.02,59.77,70.97,441.13,21.69,61.02,132.7,0.72,96.9,74.41,24.4,90.03,96.0,15.87,48.45,33.04,60.81,5.63,12.31,3.45,4.0,0.598,0.427,0.779,0.644,21.1
110155,74.09,2.37,16.6,49.94,96.38,88.45,7.63,9.2,0.96,1.59,12.96,1.29,14.04,3.21,16.99,0.43,6.75,11.06,17.73,29.88,33.7,48.35,464.45,34.91,82.56,137.03,0.34,95.05,89.33,16.29,81.91,98.65,2.88,39.76,17.58,59.35,4.65,7.39,1.09,1.35,0.643,0.498,0.818,0.653,15.5
110160,70.4,2.35,26.56,51.48,94.28,82.58,5.53,8.14,2.11,2.63,15.13,2.86,16.37,4.31,19.16,0.57,20.54,27.68,32.94,46.65,54.11,69.6,382.6,19.58,52.4,109.94,0.57,96.15,71.98,21.4,93.06,95.37,7.32,50.41,30.98,64.83,1.59,9.02,2.0,4.63,0.589,0.434,0.757,0.622,24.8
110170,71.32,2.17,23.83,48.11,94.85,84.12,5.86,8.92,1.81,1.33,14.26,1.43,15.49,3.52,18.85,0.51,13.61,17.58,26.03,35.19,50.6,64.48,380.5,19.07,62.65,127.68,0.44,93.24,81.59,19.71,92.5,96.94,9.73,45.01,26.67,63.36,8.75,13.34,2.82,3.06,0.609,0.471,0.772,0.621,22.2
110175,70.36,2.52,26.68,53.27,94.25,82.51,5.32,8.4,1.95,1.98,15.12,2.73,16.45,3.81,19.43,0.57,17.42,24.0,32.09,45.69,57.32,70.7,394.02,34.35,69.31,124.18,0.56,93.37,62.07,22.22,97.72,89.36,22.2,50.36,33.75,62.99,12.42,12.58,3.4,10.64,0.584,0.421,0.756,0.626,24.9
110180,72.5,1.85,20.57,47.61,95.53,86.03,5.77,9.28,1.27,0.71,12.87,1.64,14.13,2.6,16.84,0.59,15.79,20.22,30.25,37.45,55.91,68.25,432.03,23.08,64.46,129.06,0.6,96.71,83.3,14.29,93.74,98.1,5.26,40.79,25.35,63.91,3.99,15.16,2.28,1.9,0.627,0.485,0.792,0.641,19.2
120001,73.45,2.84,19.82,62.68,95.7,87.36,4.3,7.35,3.03,2.63,15.64,3.37,17.11,5.17,20.56,0.54,18.09,24.23,36.56,49.14,64.18,75.39,303.76,24.48,65.23,122.95,0.52,93.87,55.29,41.61,97.44,94.56,23.82,44.54,34.9,58.02,21.4,17.13,2.54,5.44,0.604,0.466,0.808,0.584,18.3
120005,71.19,2.88,26.27,66.61,94.34,83.81,4.17,7.08,10.0,7.35,20.91,8.31,22.42,11.07,26.68,0.61,30.66,39.02,44.09,55.34,66.28,77.51,291.33,13.78,41.71,96.28,0.63,80.31,40.79,47.0,96.83,84.4,28.79,40.45,33.79,54.51,17.59,26.75,6.49,15.6,0.588,0.456,0.77,0.578,24.3
120010,71.22,2.65,26.2,58.65,94.36,83.85,5.1,7.42,4.55,4.34,18.08,4.28,19.58,9.34,23.79,0.58,17.09,19.43,35.22,44.49,59.8,72.3,376.07,24.53,66.94,122.01,0.61,91.48,53.24,41.11,95.88,91.25,20.4,44.02,34.07,57.34,14.32,22.8,3.68,8.75,0.614,0.485,0.77,0.619,24.2
120013,71.32,3.14,25.88,64.07,94.42,84.02,4.63,8.59,7.42,5.78,24.74,8.27,26.78,12.35,31.47,0.58,20.68,27.5,37.61,51.45,63.43,77.85,340.95,22.69,60.59,116.9,0.61,81.12,41.89,50.25,94.07,94.47,23.51,45.05,32.86,59.19,14.62,22.39,4.83,5.53,0.589,0.439,0.772,0.603,23.9
120017,72.62,3.84,22.09,68.72,95.22,86.08,4.31,7.47,4.96,3.99,21.79,6.51,23.84,11.3,28.0,0.56,17.89,21.33,35.0,43.54,59.5,70.62,336.17,25.93,65.83,119.61,0.59,86.19,30.45,48.48,95.43,93.98,31.13,49.48,34.58,61.2,16.03,30.23,3.76,6.02,0.575,0.398,0.794,0.601,20.4
120020,71.58,3.78,25.06,67.66,94.59,84.46,4.52,9.13,4.03,3.03,18.52,5.65,20.36,9.98,25.12,0.64,18.08,25.44,34.51,47.25,56.4,69.34,450.06,23.66,62.43,115.26,0.74,79.14,38.88,45.0,84.78,94.73,39.12,30.17,24.41,45.81,10.9,43.88,3.39,5.27,0.664,0.582,0.776,0.648,23.38
120025,71.27,2.56,26.05,58.9,94.39,83.93,5.3,8.85,3.58,3.58,16.31,4.08,17.72,6.56,21.39,0.6,13.02,16.9,29.44,39.72,52.89,65.55,467.83,28.32,70.61,125.63,0.65,89.66,45.68,38.98,92.48,93.75,29.37,37.07,26.96,52.65,11.97,23.07,2.53,6.25,0.653,0.553,0.771,0.654,24.1
120030,68.35,3.73,35.88,82.09,92.36,78.96,3.79,7.03,16.58,11.97,34.72,17.17,37.81,27.25,45.08,0.68,36.51,42.9,54.93,65.04,75.28,84.74,259.43,16.81,46.04,85.84,0.73,69.53,26.02,62.56,89.65,65.41,36.26,57.76,51.12,67.44,20.64,26.83,5.58,34.59,0.539,0.388,0.723,0.559,33.2
120032,68.83,3.84,34.15,105.47,92.71,79.8,1.98,5.73,17.31,9.28,26.87,11.85,29.87,18.74,37.56,0.71,49.17,54.99,69.69,76.9,81.69,87.69,178.03,19.27,42.58,66.51,0.88,46.28,8.66,68.55,99.29,41.83,64.96,65.8,60.19,67.37,30.13,56.67,4.21,58.17,0.469,0.283,0.731,0.499,31.6
120033,71.17,4.26,26.35,75.06,94.33,83.77,4.13,9.49,9.47,5.56,23.79,7.45,26.18,13.82,32.09,0.61,28.99,38.93,45.68,57.36,68.67,79.95,295.5,27.22,57.45,102.29,0.69,80.26,28.19,50.03,76.74,85.34,47.93,31.72,26.37,52.45,11.57,37.76,4.12,14.66,0.625,0.546,0.77,0.58,24.4
120034,71.04,3.71,26.74,78.87,94.24,83.56,3.9,5.88,19.77,14.86,32.5,19.1,34.77,20.3,39.79,0.59,25.44,34.96,38.12,51.06,64.89,77.73,307.7,25.54,52.73,111.73,0.63,80.41,30.12,55.35,74.53,76.99,31.93,52.04,43.29,61.04,13.19,32.96,4.56,23.01,0.551,0.373,0.767,0.586,24.7
120035,68.55,4.26,35.15,97.78,92.51,79.31,2.22,7.52,17.68,11.31,34.38,14.56,38.36,24.68,48.37,0.59,39.31,44.44,63.82,70.49,82.84,87.96,157.27,22.31,52.77,83.33,0.51,50.76,9.33,63.63,95.1,51.51,40.2,58.25,53.85,72.42,14.9,47.89,4.01,48.49,0.501,0.361,0.726,0.479,32.5
120038,72.17,3.2,23.36,66.37,94.95,85.38,5.25,8.72,3.91,3.92,18.45,6.17,20.1,9.62,23.6,0.55,18.76,25.99,36.79,48.83,62.29,76.22,321.16,22.98,64.09,117.71,0.56,91.46,44.68,43.73,87.36,98.57,30.89,40.42,29.5,55.58,12.15,29.3,2.93,1.43,0.622,0.517,0.786,0.593,21.6
120039,68.58,4.22,35.04,106.25,92.53,79.37,2.41,7.79,23.56,12.52,34.22,14.75,37.41,29.36,45.93,0.61,34.92,42.04,53.25,61.51,76.87,84.03,204.19,20.63,49.19,90.5,0.61,44.36,17.37,68.08,51.78,69.39,39.53,54.43,47.2,68.56,24.89,28.7,3.11,30.61,0.532,0.397,0.726,0.521,32.4
120040,72.85,2.06,21.37,50.39,95.37,86.48,4.31,9.72,2.48,1.81,9.03,2.35,9.71,3.44,11.76,0.59,4.85,7.45,14.38,22.92,35.25,50.55,744.67,27.69,82.35,151.65,0.64,94.09,62.1,39.42,97.38,99.34,18.43,19.97,11.53,30.15,9.55,23.31,1.64,0.66,0.727,0.661,0.798,0.729,20.03
120042,69.18,4.22,32.9,85.52,92.97,80.41,3.09,8.51,12.62,7.74,31.26,14.46,34.46,20.43,41.06,0.63,40.9,49.85,60.87,71.27,78.78,86.87,200.58,26.12,52.57,85.05,0.72,71.48,10.89,57.15,95.36,89.56,52.64,44.83,40.28,63.44,9.21,31.26,4.06,10.44,0.567,0.477,0.736,0.518,30.4
120043,71.86,3.28,24.26,92.26,94.76,84.89,1.75,4.72,27.71,22.47,26.97,19.05,27.62,23.65,31.3,0.78,63.05,72.15,73.4,83.69,79.49,89.4,201.58,18.84,32.33,44.76,1.15,65.93,28.21,79.03,91.82,54.3,39.87,64.6,62.8,68.45,16.11,30.5,5.44,45.7,0.517,0.34,0.781,0.519,22.4
120045,72.17,2.73,23.36,61.95,94.95,85.38,5.55,8.79,3.43,2.62,17.69,3.77,19.28,7.98,23.28,0.55,8.29,11.76,23.3,34.89,48.99,63.1,455.06,29.71,81.1,142.26,0.54,92.31,52.88,44.42,93.99,99.06,29.76,40.89,26.18,50.47,13.04,33.71,3.0,0.94,0.64,0.513,0.786,0.649,21.6
120050,73.59,2.7,19.48,64.85,95.77,87.55,4.54,7.56,10.67,7.61,24.75,9.94,26.81,14.9,32.26,0.54,21.19,29.57,37.59,51.14,58.9,73.03,320.8,20.42,57.3,107.31,0.48,82.48,36.48,52.76,91.77,82.95,40.8,47.51,36.24,57.19,14.14,33.29,3.71,17.05,0.603,0.456,0.81,0.593,18.0
120060,68.21,4.89,36.4,85.98,92.25,78.72,3.95,7.19,13.67,8.02,31.09,11.39,34.37,22.98,42.31,0.65,34.59,44.9,54.76,68.47,73.09,85.06,251.53,23.25,53.31,88.75,0.74,60.4,19.3,64.5,84.42,70.47,41.95,52.3,46.01,63.91,14.99,36.31,4.82,29.53,0.539,0.392,0.72,0.554,33.7
120070,71.38,2.88,25.69,64.36,94.46,84.12,5.49,7.66,10.56,5.73,22.24,10.34,24.14,12.93,27.78,0.58,19.07,24.91,33.64,45.43,58.29,72.27,382.24,29.74,64.6,121.47,0.59,86.75,51.78,46.94,91.56,84.1,17.68,46.01,34.43,58.25,14.65,31.06,5.96,15.9,0.599,0.448,0.773,0.621,23.7
120080,71.24,3.73,26.14,67.08,94.37,83.88,5.4,8.35,4.84,4.72,23.5,7.2,25.65,10.96,30.24,0.6,21.4,25.03,41.47,54.32,66.0,77.33,319.71,21.38,61.62,113.07,0.66,84.45,40.21,50.45,93.43,95.9,38.64,49.14,36.02,64.82,9.28,37.39,3.53,4.1,0.576,0.418,0.771,0.593,24.2
