Codmun,ESPVIDA,FECTOT,MORT5,RAZDEP,SOBRE40,SOBRE60,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,RDPC,RIND,RMPOB,RPOB,THEIL,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M15A17CF,T_MULCHEFEFIF014,T_RMAXIDOSO,T_SLUZ,IDHM,IDHM_E,IDHM_L,IDHM_R,MORT1
291910,69.79,1.98,30.24,60.32,93.52,81.49,9.36,7.81,10.3,7.51,32.78,10.02,35.38,16.58,41.93,0.5,29.1,36.55,53.56,68.07,79.81,91.19,180.82,31.15,64.6,106.95,0.45,42.7,29.6,36.99,70.25,95.0,30.02,51.26,41.67,73.33,11.39,38.73,10.72,5.0,0.518,0.372,0.747,0.501,28.0
291915,70.27,2.65,28.69,54.5,93.84,82.3,6.74,8.8,7.0,4.45,20.99,6.01,22.59,10.44,26.55,0.52,21.64,28.48,47.08,62.52,69.85,84.28,244.43,37.55,72.04,110.73,0.5,93.12,80.29,28.71,97.33,99.3,10.18,40.12,30.13,63.09,9.53,23.69,3.92,0.7,0.596,0.51,0.755,0.55,26.6
291920,74.61,1.84,12.47,39.6,96.38,89.04,4.41,8.86,2.57,1.68,4.93,1.51,5.17,2.14,5.97,0.63,3.48,6.28,11.45,20.05,30.32,46.1,1031.78,38.62,88.86,162.52,0.77,98.96,94.17,30.31,99.02,99.75,1.77,17.76,9.9,23.64,6.3,16.65,1.19,0.25,0.754,0.663,0.827,0.781,15.13
291930,71.51,2.52,24.83,55.66,94.64,84.36,5.7,8.31,4.62,3.11,18.65,5.43,20.16,9.48,24.2,0.61,19.38,29.23,39.34,53.36,64.21,77.51,362.74,35.1,72.36,121.69,0.7,82.47,74.19,36.85,91.48,92.34,7.95,37.33,28.21,54.12,13.56,31.5,4.71,7.66,0.623,0.51,0.775,0.613,23.0
291940,71.49,1.94,24.91,51.4,94.63,84.31,10.43,9.54,2.67,1.08,22.9,2.23,24.77,5.59,29.61,0.45,11.11,16.5,29.59,47.23,58.63,77.64,299.47,36.31,80.28,139.74,0.38,71.43,86.23,17.32,95.33,96.57,6.79,36.69,22.85,60.39,6.61,19.57,4.0,3.43,0.621,0.531,0.775,0.582,23.1
291950,72.6,1.71,21.71,48.45,95.3,86.09,8.79,8.97,3.14,2.43,21.15,4.38,22.63,8.61,26.95,0.52,18.58,28.45,35.73,50.93,60.86,76.93,309.16,28.22,66.58,122.63,0.53,72.62,77.36,18.67,87.37,96.29,9.69,40.4,29.03,65.02,4.49,12.83,4.19,3.71,0.611,0.491,0.793,0.587,20.1
291955,74.53,2.17,16.75,44.95,96.35,88.96,1.5,8.76,2.49,1.06,7.27,1.77,7.79,4.02,9.77,0.62,2.92,4.27,10.52,16.0,31.29,45.86,871.12,37.75,87.46,165.08,0.71,93.82,93.99,38.77,100.0,99.41,3.75,30.98,16.43,32.37,8.44,26.7,0.45,0.59,0.716,0.59,0.826,0.754,15.5
291960,71.81,2.69,23.96,66.75,94.82,84.83,9.49,7.25,7.25,5.16,27.76,6.26,30.18,13.11,35.08,0.55,33.81,48.79,54.31,74.04,78.56,92.75,197.25,29.57,58.12,101.54,0.56,63.93,49.88,31.82,99.53,85.33,10.82,65.04,54.16,78.34,5.91,36.69,9.79,14.67,0.524,0.358,0.78,0.515,22.2
291970,71.94,2.02,23.57,53.08,94.91,85.05,8.54,7.56,4.03,1.98,27.5,4.78,29.85,9.21,36.44,0.46,5.68,8.52,23.98,38.02,55.19,75.61,350.25,31.24,91.39,152.63,0.39,88.93,86.52,26.75,98.79,95.04,4.31,45.54,29.99,54.61,13.72,27.29,4.34,4.96,0.605,0.466,0.782,0.607,21.8
291980,72.43,1.94,22.18,53.49,95.2,85.82,8.96,8.62,4.92,2.75,26.44,4.79,28.69,10.09,34.76,0.55,26.87,37.4,44.17,61.02,69.06,84.28,255.36,28.1,58.8,108.75,0.61,89.62,73.51,23.2,97.35,90.88,6.49,40.48,30.08,65.65,3.16,11.03,6.37,9.12,0.609,0.513,0.791,0.557,20.6
291990,69.9,2.1,29.87,61.75,93.59,81.68,9.61,9.61,12.5,5.62,25.77,6.23,27.53,11.13,32.74,0.55,25.61,35.01,47.59,65.06,72.01,86.78,240.32,29.03,62.69,109.21,0.57,54.05,40.59,32.7,36.13,86.12,29.71,35.27,27.05,57.4,4.22,33.77,9.07,13.88,0.604,0.539,0.748,0.547,27.7
291992,72.64,1.83,21.59,40.55,95.32,86.16,4.87,9.52,1.3,1.08,5.26,1.61,5.58,1.78,6.47,0.54,11.92,16.36,22.34,30.68,41.88,53.19,517.74,33.49,70.68,129.66,0.59,99.71,97.37,27.39,99.41,99.76,0.15,13.81,7.99,28.29,7.47,15.42,2.01,0.24,0.708,0.667,0.794,0.67,20.0
291995,70.07,1.81,29.32,57.13,93.71,81.97,12.02,8.53,4.52,2.28,32.92,5.71,35.67,12.54,41.58,0.46,19.29,33.34,33.28,56.56,63.04,84.8,268.47,38.26,68.19,127.52,0.41,56.61,55.12,20.04,96.34,88.02,17.46,57.35,39.69,74.68,3.75,36.47,5.74,11.98,0.538,0.368,0.751,0.565,27.2
292000,66.4,2.61,42.86,53.88,90.95,75.41,8.3,8.36,5.01,3.32,26.79,4.65,28.81,7.38,34.17,0.46,9.8,13.94,27.36,45.0,62.0,80.98,306.24,35.73,83.75,148.91,0.38,83.26,89.72,20.59,99.09,93.76,4.0,47.68,33.51,60.41,10.92,21.85,3.66,6.24,0.576,0.472,0.69,0.586,39.8
292010,69.63,2.29,30.81,57.75,93.4,81.2,10.34,8.06,5.51,4.22,24.09,6.29,26.1,8.98,30.43,0.5,17.03,26.65,39.5,57.83,63.31,83.11,286.58,38.15,75.96,121.8,0.47,65.28,61.46,23.62,98.1,92.24,13.81,50.39,35.28,69.11,8.66,25.31,6.86,7.76,0.572,0.438,0.744,0.575,28.6
292020,69.02,2.65,32.87,61.06,92.97,80.16,6.03,8.02,4.42,3.44,24.31,5.02,26.8,10.02,33.14,0.49,21.75,27.96,44.63,56.73,72.1,82.83,218.66,28.61,67.45,116.92,0.46,68.75,63.63,32.37,95.15,92.03,16.97,45.01,35.57,65.96,7.66,30.44,5.95,7.97,0.562,0.454,0.734,0.532,30.5
292030,69.83,1.88,30.13,52.25,93.54,81.55,9.75,9.12,1.94,1.96,26.09,3.9,28.25,6.85,33.43,0.48,23.18,34.55,39.63,56.41,64.43,82.65,244.02,30.52,63.39,112.72,0.47,47.89,51.61,21.63,95.83,96.13,33.42,48.48,32.26,68.26,5.18,10.98,5.12,3.87,0.578,0.471,0.747,0.549,27.9
292040,69.48,2.54,31.31,58.57,93.29,80.94,9.58,9.58,6.04,3.75,27.81,5.48,30.16,13.41,36.1,0.51,26.47,36.96,46.92,63.27,71.79,84.51,226.95,34.01,65.96,110.68,0.48,57.3,35.0,22.51,96.8,80.33,33.15,46.43,35.05,70.13,8.07,22.75,8.65,19.67,0.566,0.456,0.741,0.538,29.0
292045,70.12,2.65,29.16,57.76,93.74,82.05,6.93,8.55,6.71,3.11,17.54,3.41,19.18,5.41,23.68,0.55,37.45,46.36,55.1,66.7,77.07,86.34,182.65,28.34,52.01,91.33,0.6,55.57,35.78,33.19,77.46,86.66,24.62,26.69,21.51,56.73,5.55,17.63,9.29,13.34,0.599,0.568,0.752,0.503,27.0
292050,69.8,2.18,30.21,53.56,93.52,81.51,9.34,9.06,4.06,1.88,24.62,3.68,26.72,8.66,32.05,0.51,17.5,28.17,39.19,59.07,62.8,81.82,290.11,37.96,74.57,120.08,0.48,78.25,65.49,19.07,99.3,94.21,24.08,41.61,29.63,62.04,17.53,29.71,5.69,5.79,0.607,0.519,0.747,0.577,28.0
292060,72.58,1.7,21.75,48.39,95.29,86.06,7.66,8.73,6.9,4.63,22.75,7.85,24.36,11.46,28.29,0.57,21.34,31.75,42.63,58.84,67.41,83.8,300.1,36.12,71.11,117.81,0.6,82.72,71.8,32.58,96.16,97.89,11.79,36.11,28.07,55.24,3.88,19.44,4.34,2.11,0.621,0.518,0.793,0.582,20.2
292070,73.08,2.87,20.42,58.73,95.57,86.82,5.75,6.84,13.79,7.49,25.44,10.4,27.25,14.8,31.93,0.71,22.23,30.83,44.19,60.57,68.29,84.51,437.51,30.39,68.53,112.18,0.98,70.81,51.46,46.09,90.5,78.82,20.05,53.95,43.73,64.61,7.99,29.94,6.12,21.18,0.593,0.404,0.801,0.643,18.9
292080,69.24,2.63,32.13,62.2,93.12,80.53,8.5,8.39,7.04,3.66,30.6,6.38,33.62,12.69,41.03,0.49,26.84,37.81,48.41,65.77,73.08,86.24,201.52,27.49,60.75,106.19,0.49,70.54,57.82,29.97,94.53,86.73,19.37,43.95,33.99,67.88,9.06,28.98,8.04,13.27,0.561,0.463,0.737,0.518,29.8
292090,69.64,3.05,30.76,65.32,93.41,81.22,8.56,8.53,7.9,4.06,30.47,6.99,32.95,13.87,39.02,0.58,24.05,29.9,46.08,60.11,71.09,85.23,272.97,30.4,63.62,108.92,0.64,83.84,76.75,40.16,92.91,92.57,9.42,47.43,36.4,63.04,14.31,33.88,7.73,7.43,0.581,0.464,0.744,0.567,28.5
292100,74.09,1.97,17.82,46.43,96.12,88.33,5.43,8.65,3.06,2.4,11.56,2.85,12.34,4.21,14.67,0.56,9.34,13.66,23.45,35.3,49.32,63.54,451.9,29.71,78.18,140.86,0.58,88.39,78.95,32.46,92.11,98.75,12.56,29.32,20.62,39.82,12.72,25.68,4.26,1.25,0.668,0.562,0.818,0.648,16.5
292105,69.37,2.69,31.67,54.95,93.22,80.76,7.49,8.76,3.25,4.76,31.97,4.78,34.9,12.26,42.99,0.46,21.47,31.22,39.62,55.5,70.63,85.68,227.07,36.06,67.86,124.44,0.41,65.5,45.54,26.03,99.4,90.53,19.61,44.61,34.15,67.46,15.87,13.4,4.21,9.47,0.572,0.469,0.74,0.538,29.4
292110,71.61,2.47,24.54,55.02,94.7,84.52,10.21,7.89,3.74,2.18,24.08,3.68,25.91,7.32,30.54,0.53,9.56,16.29,27.86,47.28,55.74,77.21,392.49,42.27,86.53,142.58,0.52,88.76,83.02,22.89,93.02,96.83,6.54,46.15,29.28,59.07,11.2,21.79,7.35,3.17,0.625,0.501,0.777,0.626,22.7
292120,69.69,2.51,30.59,54.99,93.44,81.31,9.22,8.2,4.0,2.42,20.42,4.77,22.13,9.03,26.21,0.54,21.02,30.84,43.1,62.48,66.73,85.45,279.05,36.98,71.63,115.58,0.55,83.77,70.47,24.11,98.68,95.98,7.85,50.46,38.24,64.47,10.2,23.87,4.4,4.02,0.586,0.472,0.745,0.571,28.4
292130,72.32,2.33,22.5,55.44,95.13,85.64,9.16,8.5,2.84,3.2,22.25,5.5,24.05,9.85,28.39,0.51,18.25,29.97,33.35,50.31,60.09,78.44,313.88,42.09,71.25,126.65,0.5,85.44,68.42,26.43,91.8,96.42,20.41,39.74,26.42,58.6,5.43,30.36,4.34,3.58,0.622,0.518,0.789,0.59,20.8
292140,66.12,2.72,44.01,57.82,90.72,74.89,7.62,8.63,3.37,3.49,25.45,5.98,27.7,11.77,33.08,0.51,31.62,41.52,50.34,64.72,76.2,88.97,193.47,33.35,60.04,105.25,0.49,65.54,58.42,23.85,83.88,97.09,16.71,49.99,39.63,69.97,5.27,35.49,6.67,2.91,0.542,0.454,0.685,0.512,40.8
292145,68.33,1.92,35.34,55.52,92.47,78.94,9.84,8.89,7.25,3.11,30.18,5.8,32.75,11.49,39.04,0.52,32.05,41.86,49.79,66.34,72.61,84.46,208.18,31.01,58.93,103.42,0.52,25.7,37.72,26.3,95.23,96.62,21.69,56.08,42.05,76.38,5.96,33.62,8.53,3.38,0.527,0.386,0.722,0.524,32.8
292150,66.96,2.52,40.56,62.35,91.41,76.46,9.76,7.91,11.21,5.25,35.57,9.95,38.64,20.57,45.32,0.55,35.11,45.69,55.01,71.32,75.76,89.19,197.43,32.65,58.22,96.71,0.56,28.18,22.1,26.84,95.85,91.18,28.74,61.62,49.34,77.32,8.16,39.85,8.02,8.82,0.506,0.359,0.699,0.515,37.6
292160,68.9,2.18,33.31,59.78,92.88,79.94,10.34,9.03,9.75,5.05,27.64,8.0,29.92,9.73,34.45,0.55,29.89,39.43,50.91,67.47,72.53,89.72,224.53,30.91,61.89,103.13,0.55,69.95,81.9,26.6,94.85,97.81,4.79,47.91,35.42,73.99,7.02,32.62,9.87,2.19,0.558,0.444,0.732,0.536,30.9
